@RELATION suicidal
@ATTRIBUTE class {1, 0}
@ATTRIBUTE sentence_count NUMERIC
@ATTRIBUTE average_word_length NUMERIC
@ATTRIBUTE word_I  NUMERIC
@ATTRIBUTE word_! NUMERIC
@ATTRIBUTE average_sentence_length NUMERIC

@DATA
0,8,3.1134751773,11,0,17.625
1,26,3.38709677419,16,2,9.53846153846
1,73,3.52990430622,43,0,11.4520547945
1,12,3.48897058824,16,0,22.6666666667
0,89,3.5385481148,82,0,19.9662921348
0,23,3.56050955414,23,0,20.4782608696
0,9,3.66666666667,4,6,9.33333333333
0,39,3.52297592998,23,1,11.7179487179
0,10,3.79203539823,8,1,22.6
0,11,3.57522123894,4,1,10.2727272727
1,9,3.65027322404,12,0,20.3333333333
0,15,3.7268722467,10,0,15.1333333333
0,10,3.725,4,1,20.0
0,35,3.59892328398,31,0,21.2285714286
1,15,3.58536585366,9,0,16.4
1,24,3.34408602151,22,0,11.625
1,5,3.29411764706,6,0,10.2
1,11,4.01098901099,9,0,24.8181818182
0,13,3.76923076923,5,1,17.0
1,14,3.75100401606,21,0,17.7857142857
1,17,3.47058823529,26,0,20.0
1,8,3.48192771084,14,0,20.75
1,19,3.87118644068,21,0,15.5263157895
0,2,4.47826086957,1,0,11.5
0,3,3.49019607843,5,0,17.0
1,23,3.4,31,0,17.8260869565
1,14,3.4854368932,18,0,14.7142857143
0,4,3.84782608696,0,1,11.5
1,20,3.40974212034,22,0,17.45
1,15,3.79292929293,14,0,13.2
1,10,3.4708994709,12,0,18.9
0,13,3.46448087432,11,0,14.0769230769
1,20,3.53619302949,27,0,18.65
0,31,3.94670846395,16,1,20.5806451613
0,6,3.96153846154,4,0,17.3333333333
0,4,3.83333333333,0,0,18.0
1,10,3.0875,4,0,8.0
1,5,3.37398373984,11,0,24.6
1,30,3.21993127148,23,0,9.7
1,12,3.53266331658,7,0,16.5833333333
0,8,3.89814814815,2,0,13.5
0,15,3.87173913043,11,1,30.6666666667
1,10,3.6081871345,13,0,17.1
0,8,3.44444444444,9,0,16.875
1,21,4.03347280335,28,2,22.7619047619
1,2,3.25,1,0,6.0
1,18,3.74617737003,17,5,18.1666666667
0,14,3.34010152284,13,0,14.0714285714
0,2,4.45454545455,0,5,5.5
0,8,3.625,2,0,24.0
1,13,3.50622406639,12,0,18.5384615385
1,11,3.65882352941,20,0,23.1818181818
1,2,3.71794871795,3,0,19.5
0,5,4.10924369748,3,1,23.8
1,24,3.65893271462,36,0,17.9583333333
1,18,3.60290556901,33,0,22.9444444444
0,11,3.5775862069,9,4,21.0909090909
0,34,3.5339055794,49,1,34.2647058824
0,18,3.60089686099,1,1,12.3888888889
0,6,3.625,1,1,13.3333333333
1,12,3.07142857143,5,0,5.83333333333
0,63,3.68160741886,71,5,20.5396825397
1,35,3.78209459459,35,0,16.9142857143
1,6,3.72131147541,11,0,20.3333333333
1,24,3.5612244898,25,1,12.25
0,5,3.8064516129,2,0,12.4
1,23,3.62831858407,33,0,19.652173913
1,19,3.53488372093,22,0,18.1052631579
1,6,3.46258503401,10,1,24.5
0,17,4.17254901961,3,2,15.0
0,32,3.24092888244,31,3,21.53125
1,27,3.6660899654,32,0,21.4074074074
1,7,3.67424242424,12,0,18.8571428571
0,9,3.85106382979,4,3,20.8888888889
1,41,3.62882882883,35,0,13.5365853659
0,7,3.32203389831,7,1,16.8571428571
0,10,3.55208333333,6,0,19.2
0,4,2.92207792208,0,2,19.25
1,3,3.61904761905,2,0,7.0
0,19,3.66268656716,21,1,17.6315789474
0,36,3.76833527357,40,0,23.8611111111
0,22,3.56932153392,14,3,15.4090909091
0,8,3.53571428571,4,0,14.0
1,10,3.33939393939,8,0,16.5
0,15,3.77941176471,8,0,27.2
1,1,4.0,4,0,58.0
0,4,4.13580246914,1,0,20.25
1,8,3.83870967742,13,0,19.375
0,30,3.97791164659,8,12,16.6
1,4,3.39285714286,2,0,7.0
1,10,3.28025477707,15,0,15.7
0,30,3.75488721805,12,0,22.1666666667
0,26,3.79069767442,11,1,16.5384615385
0,8,3.97419354839,3,1,19.375
1,12,3.60120845921,30,0,27.5833333333
1,13,3.28813559322,15,0,13.6153846154
0,33,3.74774774775,7,0,16.8181818182
1,11,3.82386363636,0,0,16.0
1,3,4.03225806452,0,0,10.3333333333
0,5,4.18965517241,10,0,23.2
0,33,3.65942028986,37,1,16.7272727273
1,25,3.24756335283,59,0,20.52
0,3,3.28571428571,6,0,18.6666666667
0,4,3.86597938144,0,0,48.5
1,1,3.30769230769,1,0,13.0
1,7,4.03888888889,9,0,25.7142857143
1,13,3.72752808989,0,0,27.3846153846
0,6,4.28378378378,0,0,12.3333333333
1,34,3.68093385214,39,0,22.6764705882
0,9,3.25190839695,10,1,14.5555555556
0,13,3.83404255319,8,3,18.0769230769
1,14,3.1975308642,10,0,11.5714285714
1,17,3.77027027027,30,0,21.7647058824
1,29,3.55584415584,28,0,13.275862069
1,10,3.52258064516,14,0,15.5
1,23,3.46532846715,44,0,23.8260869565
0,5,2.94736842105,1,0,11.4
0,24,3.89145496536,5,0,18.0416666667
1,12,3.67359050445,21,0,28.0833333333
0,51,3.58050221566,19,0,13.2745098039
1,19,3.47330960854,24,0,14.7894736842
0,16,3.62633451957,20,0,17.5625
0,30,4.13043478261,3,0,13.0333333333
1,1,3.4,1,0,10.0
1,19,3.06040268456,27,0,15.6842105263
1,31,3.7750385208,55,0,20.935483871
1,10,3.61344537815,10,0,11.9
1,9,3.46684350133,24,0,41.8888888889
0,4,3.49122807018,0,0,14.25
0,12,3.74305555556,5,0,24.0
0,14,3.64141414141,9,0,14.1428571429
0,16,3.48034934498,11,8,14.3125
0,13,3.89051094891,6,0,21.0769230769
0,9,3.68965517241,6,0,22.5555555556
1,8,3.42487046632,19,0,24.125
0,5,3.72727272727,1,3,8.8
0,4,3.8023255814,3,1,21.5
1,7,3.92307692308,3,0,7.42857142857
1,17,3.58566978193,28,0,18.8823529412
0,50,3.47945205479,44,0,13.14
0,2,4.33898305085,1,0,29.5
0,8,3.66964285714,2,0,14.0
1,28,3.66949152542,45,0,21.0714285714
0,6,3.576,5,0,20.8333333333
0,11,3.95145631068,6,3,18.7272727273
1,14,3.25306122449,32,0,17.5
1,13,3.4347826087,44,0,37.1538461538
0,4,4.02857142857,4,0,26.25
0,63,3.71893491124,57,0,16.0952380952
0,5,3.54621848739,5,0,23.8
1,5,3.37209302326,4,0,17.2
0,23,3.61016949153,16,1,17.9565217391
0,15,3.88395904437,4,0,19.5333333333
0,5,3.69512195122,0,0,16.4
1,11,3.61463414634,13,0,18.6363636364
1,10,3.83216783217,1,0,14.3
1,44,3.56712328767,36,0,16.5909090909
1,13,3.73264781491,8,0,29.9230769231
1,15,3.61755485893,20,0,21.2666666667
0,7,3.99065420561,0,0,15.2857142857
1,39,3.31238779174,48,0,14.2820512821
0,11,3.52820512821,19,0,35.4545454545
1,2,3.75,1,0,28.0
0,5,3.921875,6,4,12.8
1,8,3.63253012048,8,1,20.75
0,20,4.17355371901,10,1,18.15
1,18,3.44701986755,23,0,16.7777777778
0,56,3.53084832905,55,0,13.8928571429
0,22,3.77551020408,5,0,31.1818181818
1,10,3.4502617801,13,0,19.1
1,3,3.23188405797,8,0,23.0
1,13,4.07089552239,17,0,20.6153846154
0,13,3.55805243446,9,0,20.5384615385
0,6,4.04081632653,0,1,16.3333333333
0,26,3.62633451957,9,0,10.8076923077
0,17,3.94626865672,15,0,19.7058823529
1,22,3.18925831202,40,0,17.7727272727
0,21,3.93584070796,18,1,21.5238095238
1,14,3.51136363636,16,0,12.5714285714
0,39,3.56658595642,63,0,21.1794871795
1,21,3.15730337079,18,0,8.47619047619
1,49,3.83368200837,6,0,19.5102040816
1,21,3.57212713936,31,0,19.4761904762
1,11,3.50159744409,25,0,28.4545454545
0,8,4.02793296089,3,0,22.375
0,34,3.85765124555,12,0,16.5294117647
1,19,3.49719101124,22,0,18.7368421053
0,15,4.14803625378,1,0,22.0666666667
1,1,3.14285714286,0,0,7.0
0,13,4.025,1,1,15.3846153846
1,10,3.46951219512,11,0,16.4
0,9,4.01327433628,3,0,25.1111111111
0,1,3.55128205128,4,0,78.0
1,18,3.57336956522,16,1,20.4444444444
0,2,3.5,3,0,24.0
0,80,3.40894819466,63,5,15.925
0,13,2.98723404255,7,20,18.0769230769
1,12,3.35826771654,17,0,21.1666666667
1,96,3.64485081809,1,1,10.8229166667
0,18,3.67910447761,5,0,22.3333333333
1,6,3.47265625,25,0,42.6666666667
0,51,3.46929133858,16,1,12.4509803922
0,15,3.86166007905,2,2,16.8666666667
1,3,3.47916666667,3,0,16.0
0,23,3.6079447323,17,2,25.1739130435
1,57,3.72882805817,69,0,20.5087719298
0,14,3.476,15,0,17.8571428571
1,18,3.39636363636,19,0,15.2777777778
1,6,3.73333333333,1,0,12.5
1,8,3.60352422907,2,0,28.375
1,6,3.41071428571,4,0,9.33333333333
0,22,4.59855769231,1,0,18.9090909091
1,26,3.61517615176,13,0,14.1923076923
0,23,3.75195822454,11,0,16.652173913
1,16,3.46996466431,17,0,17.6875
1,13,3.96774193548,11,0,11.9230769231
1,8,3.4126984127,12,0,15.75
1,41,3.53941908714,34,3,17.6341463415
0,32,3.91708967851,12,1,18.46875
0,14,3.51102941176,9,5,19.4285714286
1,17,3.37066666667,32,0,22.0588235294
1,109,3.80283114257,160,5,27.2201834862
1,47,3.52401746725,51,0,19.4893617021
1,9,3.68452380952,7,0,18.6666666667
0,5,3.78523489933,6,1,29.8
0,17,4.02013422819,0,3,8.76470588235
1,3,3.21428571429,1,0,9.33333333333
0,16,3.515625,17,5,24.0
0,7,3.8932038835,4,0,14.7142857143
0,6,3.49206349206,7,0,21.0
1,35,3.47984644914,82,0,29.7714285714
0,6,3.51445086705,5,1,28.8333333333
1,8,3.29702970297,8,0,12.625
1,18,3.64643799472,20,0,21.0555555556
1,2,3.41176470588,2,0,8.5
1,30,3.40294840295,30,0,13.5666666667
0,70,3.69580924855,65,0,19.7714285714
0,3,2.57142857143,2,0,4.66666666667
0,26,3.92491467577,14,0,22.5384615385
1,30,3.81007751938,42,0,17.2
1,33,3.54033149171,59,1,27.4242424242
1,2,3.96842105263,1,0,47.5
1,13,3.26708074534,18,0,12.3846153846
1,31,3.25485436893,32,0,13.2903225806
0,28,3.78793774319,4,1,18.3571428571
0,28,3.54439252336,13,0,15.2857142857
0,12,3.53183520599,12,2,22.25
1,1,2.875,1,0,24.0
1,5,3.48979591837,7,0,9.8
0,38,3.65252525253,12,0,13.0263157895
0,17,3.56591639871,9,0,18.2941176471
0,18,4.16780821918,13,2,16.2222222222
0,27,3.56656346749,13,3,11.962962963
1,2,3.21428571429,2,0,21.0
0,52,3.54464285714,20,0,10.7692307692
1,10,3.09523809524,8,0,10.5
0,19,3.25614035088,16,5,15.0
0,22,3.84649122807,19,0,20.7272727273
0,40,3.97128589263,9,13,20.025
1,5,3.49019607843,3,0,10.2
0,4,3.71428571429,1,0,15.75
0,12,3.76351351351,4,0,24.6666666667
0,26,3.86078886311,21,2,16.5769230769
0,10,3.36263736264,5,10,18.2
0,5,3.5421686747,2,0,16.6
1,10,3.33333333333,8,0,8.1
0,2,4.61728395062,1,0,40.5
1,16,3.39484978541,13,0,14.5625
1,6,3.28169014085,5,0,11.8333333333
0,4,3.61176470588,4,0,21.25
0,8,3.55156950673,9,0,27.875
1,26,3.35772357724,40,0,18.9230769231
1,11,3.67136150235,14,1,19.3636363636
0,27,3.50328227571,30,3,16.9259259259
0,12,3.71942446043,0,0,11.5833333333
0,33,3.72023809524,27,0,15.2727272727
0,26,3.55928411633,0,0,17.1923076923
0,3,3.41538461538,4,0,21.6666666667
0,20,3.34517766497,11,0,9.85
0,4,3.17894736842,8,0,23.75
1,7,3.26,3,0,7.14285714286
1,9,3.80239520958,14,0,18.5555555556
1,25,3.85567010309,19,0,15.52
0,10,3.61022364217,23,0,31.3
0,11,3.39800995025,3,0,18.2727272727
0,17,4.33950617284,1,0,19.0588235294
0,14,4.19191919192,8,8,35.3571428571
0,19,3.43930635838,17,2,18.2105263158
1,10,3.60550458716,7,0,10.9
1,2,4.0487804878,2,0,20.5
0,36,3.41747572816,22,1,11.4444444444
1,29,3.61744966443,26,0,20.5517241379
0,25,4.16532905297,9,8,24.92
0,21,3.48293963255,21,3,18.1428571429
1,3,3.28155339806,13,0,34.3333333333
1,18,3.25520833333,0,0,10.6666666667
0,4,3.53125,2,6,24.0
1,5,3.41666666667,5,0,12.0
0,8,3.53846153846,9,12,19.5
1,21,4.45690312738,22,0,62.4285714286
1,39,4.10313531353,48,1,31.0769230769
0,17,3.57566765579,12,0,19.8235294118
1,13,3.2275862069,14,0,11.1538461538
0,42,3.75164257556,5,8,18.119047619
0,11,3.45374449339,10,3,20.6363636364
1,13,3.41071428571,6,0,8.61538461538
1,8,3.35135135135,15,0,23.125
0,40,3.48711111111,34,0,28.125
0,3,3.83720930233,0,0,43.0
0,15,3.62574850299,10,0,22.2666666667
1,22,3.5497382199,29,0,17.3636363636
1,23,3.428125,25,0,13.9130434783
0,52,3.55543358946,25,1,17.5192307692
0,2,5.45,1,0,10.0
1,7,3.32638888889,14,0,20.5714285714
1,4,2.9756097561,8,0,10.25
0,13,3.62871287129,14,0,15.5384615385
0,13,3.79017857143,6,4,17.2307692308
1,13,3.37272727273,19,0,16.9230769231
1,26,3.62412761715,2,0,38.5769230769
1,136,3.74434312732,172,3,21.7720588235
1,14,3.52362204724,19,0,18.1428571429
1,5,3.5,6,0,10.0
1,9,3.32075471698,9,0,23.5555555556
1,10,3.66346153846,11,0,20.8
1,6,3.10112359551,9,0,14.8333333333
0,9,3.66285714286,7,0,19.4444444444
0,5,3.54954954955,7,0,22.2
1,22,3.42608695652,22,0,20.9090909091
0,4,3.675,2,2,20.0
0,7,3.77064220183,1,0,15.5714285714
0,9,3.45736434109,6,0,14.3333333333
1,7,3.97826086957,5,0,19.7142857143
1,1,3.44444444444,1,0,18.0
1,5,3.43181818182,4,0,8.8
0,10,3.91397849462,2,1,18.6
0,49,3.52188940092,39,7,17.7142857143
0,15,3.88554216867,10,5,22.1333333333
1,18,3.53529411765,45,0,28.3333333333
0,41,3.60778859527,44,2,17.5365853659
1,10,3.74534161491,1,0,16.1
1,5,3.60674157303,7,0,17.8
1,11,3.74479166667,12,0,17.4545454545
0,36,3.55976095618,33,0,13.9444444444
0,17,3.48726655348,16,0,34.6470588235
0,4,3.60317460317,3,0,15.75
1,19,3.38392857143,12,0,11.7894736842
0,4,3.97297297297,0,0,9.25
0,1,3.39130434783,0,0,23.0
1,8,3.60606060606,0,0,20.625
0,60,3.80694980695,19,0,12.95
1,29,3.50069735007,36,0,24.724137931
1,29,3.23738872404,0,0,11.6206896552
1,5,3.29508196721,10,0,24.4
1,41,3.90921139828,81,0,36.8048780488
0,9,3.80575539568,6,6,15.4444444444
1,52,3.68582755203,51,0,19.4038461538
0,14,3.78913738019,10,6,22.3571428571
0,18,3.46041666667,28,0,26.6666666667
1,27,3.47689768977,56,0,22.4444444444
0,23,3.82738095238,14,0,21.9130434783
1,25,3.7277486911,47,0,22.92
1,8,3.92957746479,6,0,17.75
1,43,3.77622377622,51,0,13.3023255814
1,9,3.65151515152,13,0,22.0
0,5,3.49230769231,3,0,13.0
0,39,4.46944444444,8,0,27.6923076923
0,8,3.58267716535,7,0,15.875
1,1,3.73684210526,0,0,19.0
1,29,3.96434108527,41,0,22.2413793103
0,25,3.85557986871,7,0,18.28
0,30,3.52989690722,20,7,16.1666666667
0,8,3.54761904762,14,0,21.0
1,8,3.58620689655,11,0,18.125
0,7,3.68205128205,10,0,27.8571428571
1,17,3.40683229814,29,1,18.9411764706
1,4,3.3595505618,8,0,22.25
0,9,3.77586206897,2,2,25.7777777778
0,23,3.94835680751,2,1,18.5217391304
0,1,5.1568627451,1,0,51.0
0,6,3.51612903226,2,7,15.5
0,8,3.83088235294,5,1,17.0
0,33,3.5475638051,19,0,13.0606060606
1,4,3.46875,2,1,24.0
0,7,4.26050420168,0,1,17.0
0,11,3.71232876712,1,0,13.2727272727
0,16,3.93333333333,5,0,29.0625
1,14,3.32222222222,16,0,12.8571428571
1,9,3.43181818182,20,0,24.4444444444
1,54,3.50044762757,67,0,20.6851851852
1,14,3.5037037037,27,0,28.9285714286
0,57,3.43825301205,28,7,11.649122807
0,15,3.94197952218,12,3,19.5333333333
1,25,3.58917835671,33,0,19.96
0,38,3.46613545817,4,1,13.2105263158
0,10,4.28358208955,10,0,20.1
1,7,3.28735632184,10,0,12.4285714286
0,35,3.55772994129,25,1,14.6
0,5,3.6625,1,7,32.0
1,12,3.56591639871,6,0,25.9166666667
0,9,4.00675675676,0,0,16.4444444444
1,7,3.48305084746,8,0,16.8571428571
1,25,3.46065259117,44,1,20.84
1,18,3.43389830508,27,0,16.3888888889
1,5,3.69318181818,6,0,17.6
0,22,3.80092592593,16,7,19.6363636364
1,10,3.30172413793,11,0,11.6
1,25,3.50700280112,28,0,14.28
0,14,3.44027303754,19,0,20.9285714286
0,5,3.71764705882,3,4,17.0
0,5,4.39195979899,0,0,39.8
0,19,3.5308056872,27,0,22.2105263158
0,9,3.456,15,0,27.7777777778
1,6,3.89552238806,7,0,22.3333333333
1,9,3.32258064516,11,0,17.2222222222
0,11,3.99206349206,2,3,11.4545454545
0,6,4.08064516129,1,0,10.3333333333
0,14,4.05177993528,7,0,22.0714285714
1,8,3.25641025641,0,0,9.75
1,19,3.53376205788,25,1,16.3684210526
1,2,3.01360544218,10,0,73.5
0,36,3.6375,30,4,20.0
0,16,3.77333333333,10,1,14.0625
1,24,3.39271255061,26,0,10.2916666667
0,7,3.62903225806,4,0,17.7142857143
1,3,3.30434782609,2,0,7.66666666667
1,20,3.10859728507,17,1,11.05
1,3,3.12,6,0,16.6666666667
0,4,3.47191011236,7,0,22.25
1,11,3.52717391304,9,0,16.7272727273
0,7,3.93700787402,3,1,18.1428571429
1,27,3.84381338742,40,0,18.2592592593
1,11,3.24637681159,18,0,12.5454545455
